n,p (exact),p (asymptotic),difference,verification,verification_error,iterations
1,1.37054624375387e-1,0.6931471805599453,0.5560925561845583,5.0e-1,6.681911775230489e-52,6
2,2.15351742679015e-1,0.5887050112577373,0.37335326857872203,5.0e-1,6.780810697960381e-43,7
3,2.59000453013989e-1,0.6136226785714244,0.35462222555743533,5.0e-1,2.6727647100921956e-51,8
4,2.88118164805002e-1,0.6451955560749383,0.3570773912699363,5.0e-1,7.851847707955595e-47,8
5,3.0948274785694e-1,0.6735519399846788,0.36406919212773886,5.0e-1,3.799612918249379e-39,8
10,3.68427965488434e-1,0.7657421372517378,0.39731417176330397,5.0e-1,7.016517193860464e-45,9
20,4.1464191113876e-1,0.8452589408375267,0.43061702969876686,5.0e-1,2.281351682122744e-46,10
30,4.35373813857407e-1,0.881976080102647,0.44660226624523963,5.0e-1,7.769778743071106e-40,27
40,4.47443470980917e-1,0.903585257905143,0.45614178692422647,5.0e-1,4.4089406209051854e-40,34
50,4.55437406462167e-1,0.9179882219900085,0.4625508155278416,5.0e-1,2.194817935628094e-37,41
100,4.73875531141508e-1,0.951498821263724,0.4776232901222162,5.0e-1,2.0005426728598332e-22,76
200,5.89489256126433e-1,0.972073216797063,0.38258396067063,5.71162405606116e-27708554869267579,0.5,100
500,8.08015769361479e-1,0.9869240014690849,0.1789082321076059,1.53649892976144e-65970961948638317005875585499707343781935883032513321594434836541090259998729112316533293441982507419904560,0.5,100
1000,8.98277965450934e-1,0.9927521252528959,0.09447415980196182,3.75149661175871e-227570089340276110736586706762113994175994873615623139105994304846965989995784163517998034016095856685820811393683176794582932316986596525141176823663578454396082055947426771142651181235699135902425149668419356581558699268890194302991952181813662966588275076,0.5,100
